organization,email,mission
Harvard Women in Nature Network,harvardwinn@gmail.com,connect students with each other and with accomplished women in the field of conservation
Impact Investing Club,iic@studentclubs.hbs.edu,sustainable investment
Organizers for Radical Climate Action (ORCA),orca.harvard@gmail.com,"end local, national, and global reliance on fossil fuels"
Students for Carbon Dividends,info@S4CD.org,breakthrough Carbon Dividends solution
The Harvard Environmental Law Society,els@law.harvard.edu,respond more effectively to the nation’s environmental problems
The Harvard Society of Black Scientists and Engineers,harvard.hsbse@gmail.com,"the development and growth of Black students in Science, Technology, Engineering, and Math "
Sustainability Club,pleeuwenburg@mba2024.hbs.edu,prepare MBA candidates to become better stewards of the natural and built environment
Working Green Committee,https://workinggreen.mit.edu/contact-us,educate administrative and support staff about sustainability
MIT Sustainability Summit,sustainabilitysummit@mit.edu,host an annual prestigious sustainability summit
MIT Energy Club,mitec_partnerships@mit.edu,connect students and alumni who are passionate about energy and climate change
MIT FAC,foodandag.officers@sloangroups.mit.edu,"eliminate negative social, economic, and environmental consequences "
Water Club,waterclub-officers@mit.edu.,to serve as a network for water research and innovation
Sloan Entrepreneurs for International Development,seid.officers@sloangroups.mit.edu,to be an intersection of international development and entrepreneurship
(BRIC) Biomaterial Circle,phung@risd.edu,"work on creative design projects guided through workshops, focusing on material exploration through an interdisciplinary biomaterial study and creating a more inclusive, accessible, equitable, and sustainable future"
E'Ship,shong@risd.edu,support and guide students pursuing business ventures within art and design
HootMag,hootmag@barnard.edu,promote fashion at Columbia University
Columbia Organization of Rising Entrepreneurs (CORE),coreboard@columbia.edu,"support, invigorate, accelerate and motivate Columbia University community programs and culture around innovation, creativity and entrepreneurship"
Columbia Social Entrepreneurship Group,https://www.columbiaseg.org/contact-us,"deliver solutions and recommendations to nonprofits, social enterprises and other social impact organizations in New York City."
Columbia Women's Entrepreneurship Group,yz3103@columbia.edu,empower women and entrepreneurship
EcoReps,ecorepscu@gmail.com,to promote sustainable behavior and implement green initiatives on Columbia’s campus
Sustainable Columbia,environment@columbia.edu,commit Columbia University to net zero greenhouse gas emissions by 2050 or sooner. 
Columbia Policy Institute,policyinstitute@columbia.edu,"support advocacy projects in a wide range of policy centers including human rights, economic development, education, energy & environment, technology, healthcare and democratic access"
Columbia Bioethics Society,columbiabioethicssociety@gmail.com,"analyze the implications of recent advances in technology, science and medicine by examining the intersections among ethical, political, legal, social and public policy perspectives."
Blue and White,bweditors@columbia.edu,be the leading environmental newsletter at Columbia University
CU Environmental Biology Society,columbiauebs@gmail.com,be a safe space for nature lovers
Wharton Undergraduate Finance & Technology Group (WUFT),pennwuft@gmail.com,educate and support Penn undergraduates who are interested in the intersection of finance & technology.
Penn Climate Ventures,pennclimateventures@gmail.com,building out Penn's climate innovation ecosystem
Penn Social Entrepreneurship Movement ,pkarnati@wharton.upenn.edu,"build new social enterprises, support existing ones through pro-bono consulting services, and grow the movement across campus and beyond."
Wharton Undergraduate Entrepreneurship Club (WUEC),acciatto@wharton.upenn.edu,foster entrepreneurial thinking among the UPenn student body
Ascendance Social Enterprise Club x Penn,vereta@wharton.upenn.edu,create global connections to foster the spirit of social entrepreneurship
In Transcription,intupenn@gmail.com,"serve as a Community for Life Science Students, Researchers, & Entrepreneurs"
Venture Initiation Program Peer Advisors,saluthra@wharton.upenn.edu,serve as a center for consulting start-ups at Penn
Impact Network @ Penn,vardnan@seas.upenn.edu,equip mission-driven organizations with critical skills and data to accelerate social change. 
Environmental Group at Penn,pennvironmentalgroup@gmail.com,enhance the environmental community at Penn and working toward a greener future
Maqoor Environmental Club,pennmaqoorclub@gmail.com,preserve the planet for future generations
Penn Sustainability Consulting (PSC),psc.upenn@gmail.com,provide pro-bono sustainability consulting services to organizations across the globe
Penn Wellness,pennwellness@gmail.com,promote mental wellness at the University of Pennsylvania
MCIT Venture Prospect Network,hdmack@seas.upenn.edu,create a forum for discussion of frontier technology and a community focused on incubating organic relationships between students
C-4,alanasch@sas.upenn.edu,"leading the fight against environmental racism in Chester, PA"
PennClubH2O,pennclubh2o@gmail.com,"drive change through leadership, education, and action to help solve global water challenges"
Art and Archaeological Conservation Club,artarchconservation@gmail.com,study the preservation of material culture
Students for Environmental Equity (SEE),abalfanz@sas.upenn.edu,study environmental justice
Fashion Design & Styling Studio,fashiondesignandstyling@gmail.com,"provide opportunities for students who are interested in: fashion design, fashion show production, and more"
Alloy Media,alloymediaofpenn@gmail.com,"producing projects and events in film, fashion and photography."
Penn Fashion Collective,pennfashioncollective@gmail.com,"provide opportunities for students who are interested in: fashion design, fashion show production, and more"
The WALK Magazine,adelync@wharton.upenn.edu,being the premier and completely student-run fashion publication and community
Orgullo Latino Fashion Association,orgullolatinofashionshow@gmail.com,uplifting Latinx voices and showcasing diverse Latinx representation.
Creative Coding+ @ Penn,penncreativecoding@gmail.com,"serve as a hub for programmers, designers, and artists to collaborate and explore how coding can be used as a medium for expression"
Penn Computer Science Society,penncss@seas.upenn.edu,"build a community within computer science, and we work to provide students with as many opportunities as we can"
Yale Entrepreneurial Society,yesatyale@gmail.com,support student innovation and entrepreneurship at Yale
Yale startup consulting group,austin.wang.aw938@yale.edu,provide high quality consulting advice for local startups
Net Impact Yale,yale.undergrad@netimpact.org,expose Yale students to social entrepreneurship
Yale Women in Business,president@yalewib.org.,promote female leadership in business and entrepreneurship
Yale Student Environmental Coalition,Maria.Arozamena@yale.edu,"empower students to engage in all forms of environmental advocacy on campus, in New Haven, and beyond"
MAISON,maisonatyale@gmail.com,"spearhead creative expression at Yale through outlets including fashion shows, photoshoots, speaker events, and more"
Entrepreneurship Through Acquisition Club,eta@cornell.edu,"inform about the search fund asset class, to serve as a meeting platform for Cornellians interested in entrepreneurship through acquisition (ETA), and to connect current students, alumni, the investor community, and other interested parties."
Social Enterprise at Cornell,xh285@cornell.edu,empowers your member to build a career in social and environmental impact
Cornell Wardrobe,thewardrobe@cornell.edu,provide pre-professional clothing for students
Cornell Venture and Entrepreneurship Club,eship@cornell.edu,"connect early-stage/VC/PE investors, entrepreneurs, students and scholars across the United States and China"
Women Entrepreneurship Club at Cornell Tech,cornellswib@gmail.com,connect students of all majors with each other and with professional leaders in the business world. This organization is a registered student organization of Cornell University.
BEAR Community Health at Cornell,bearcommunityhealth@gmail.com,"empower and educate disenfranchised youth in the promotion of health and wellness through outreach, education, and advocacy."
NatureRX,naturerxatcornell@gmail.com,encourage time spent in nature
A Seat at the Table,aseatatthetable.cornell@gmail.com,"cultivate a community of collaborative, innovative, and openminded change-makers who are educated and experienced in Business Ethics and Human Resources"
